Value,Timestamp
True,2022-11-02T22:24:44.2293760-07:00
True,2022-11-02T22:24:44.2488192-07:00
True,2022-11-02T22:24:44.2596992-07:00
True,2022-11-02T22:24:44.2763776-07:00
True,2022-11-02T22:24:44.2931072-07:00
True,2022-11-02T22:24:44.3099008-07:00
True,2022-11-02T22:24:44.3266688-07:00
True,2022-11-02T22:24:44.3435392-07:00
True,2022-11-02T22:24:44.3603456-07:00
True,2022-11-02T22:24:44.3771136-07:00
True,2022-11-02T22:24:44.3938816-07:00
True,2022-11-02T22:24:44.4107264-07:00
True,2022-11-02T22:24:44.4275968-07:00
True,2022-11-02T22:24:44.4442624-07:00
True,2022-11-02T22:24:44.4611456-07:00
True,2022-11-02T22:24:44.4779392-07:00
True,2022-11-02T22:24:44.4951168-07:00
True,2022-11-02T22:24:44.5117568-07:00
True,2022-11-02T22:24:44.5284736-07:00
True,2022-11-02T22:24:44.5452032-07:00
True,2022-11-02T22:24:44.5619456-07:00
True,2022-11-02T22:24:44.5786240-07:00
True,2022-11-02T22:24:44.5954688-07:00
True,2022-11-02T22:24:44.6120448-07:00
True,2022-11-02T22:24:44.6288000-07:00
True,2022-11-02T22:24:44.6456576-07:00
True,2022-11-02T22:24:44.6625024-07:00
True,2022-11-02T22:24:44.6793216-07:00
True,2022-11-02T22:24:44.6961280-07:00
True,2022-11-02T22:24:44.7128448-07:00
True,2022-11-02T22:24:44.7297024-07:00
True,2022-11-02T22:24:44.7465600-07:00
True,2022-11-02T22:24:44.7633152-07:00
True,2022-11-02T22:24:44.7801088-07:00
True,2022-11-02T22:24:44.7969152-07:00
True,2022-11-02T22:24:44.8137344-07:00
True,2022-11-02T22:24:44.8305152-07:00
True,2022-11-02T22:24:44.8473984-07:00
True,2022-11-02T22:24:44.8642304-07:00
True,2022-11-02T22:24:44.8809984-07:00
True,2022-11-02T22:24:44.8977536-07:00
True,2022-11-02T22:24:44.9145472-07:00
True,2022-11-02T22:24:44.9313792-07:00
True,2022-11-02T22:24:44.9482112-07:00
True,2022-11-02T22:24:44.9650176-07:00
True,2022-11-02T22:24:44.9818368-07:00
True,2022-11-02T22:24:44.9987200-07:00
True,2022-11-02T22:24:45.0155648-07:00
True,2022-11-02T22:24:45.0324224-07:00
True,2022-11-02T22:24:45.0492672-07:00
True,2022-11-02T22:24:45.0660608-07:00
True,2022-11-02T22:24:45.0829184-07:00
True,2022-11-02T22:24:45.0996992-07:00
True,2022-11-02T22:24:45.1163520-07:00
True,2022-11-02T22:24:45.1330944-07:00
True,2022-11-02T22:24:45.1498368-07:00
True,2022-11-02T22:24:45.1665920-07:00
True,2022-11-02T22:24:45.1833600-07:00
True,2022-11-02T22:24:45.2001024-07:00
True,2022-11-02T22:24:45.2168448-07:00
True,2022-11-02T22:24:45.2336000-07:00
True,2022-11-02T22:24:45.2503936-07:00
True,2022-11-02T22:24:45.2671232-07:00
True,2022-11-02T22:24:45.2839552-07:00
True,2022-11-02T22:24:45.3007104-07:00
True,2022-11-02T22:24:45.3175296-07:00
True,2022-11-02T22:24:45.3343872-07:00
True,2022-11-02T22:24:45.3511296-07:00
True,2022-11-02T22:24:45.3678848-07:00
