Value,Value.Item2,Timestamp
NOGOAUDIO,False,2022-11-02T22:24:50.2760320-07:00
NOGOGRATINGS,False,2022-11-02T22:24:53.2451072-07:00
NOGOGRATINGS,False,2022-11-02T22:24:56.5125248-07:00
NOGOAUDIO,False,2022-11-02T22:24:59.2515456-07:00
NOGOGRATINGS,False,2022-11-02T22:25:02.2820096-07:00
GOGRATINGS,False,2022-11-02T22:25:05.5118848-07:00
NOGOAUDIO,False,2022-11-02T22:25:08.4978176-07:00
NOGOAUDIO,False,2022-11-02T22:25:11.4699776-07:00
NOGOAUDIO,False,2022-11-02T22:25:14.2547712-07:00
NOGOGRATINGS,False,2022-11-02T22:25:17.4989312-07:00
NOGOAUDIO,False,2022-11-02T22:25:20.4817152-07:00
