Value,Timestamp
True,2022-10-26T10:31:55.6819840-07:00
True,2022-10-26T10:31:55.7011584-07:00
True,2022-10-26T10:31:55.7120128-07:00
True,2022-10-26T10:31:55.7286912-07:00
True,2022-10-26T10:31:55.7454592-07:00
True,2022-10-26T10:31:55.7623680-07:00
True,2022-10-26T10:31:55.7790592-07:00
True,2022-10-26T10:31:55.7958784-07:00
True,2022-10-26T10:31:55.8127232-07:00
True,2022-10-26T10:31:55.8294528-07:00
True,2022-10-26T10:31:55.8461696-07:00
True,2022-10-26T10:31:55.8630400-07:00
True,2022-10-26T10:31:55.8798720-07:00
True,2022-10-26T10:31:55.8965888-07:00
True,2022-10-26T10:31:55.9133696-07:00
True,2022-10-26T10:31:55.9302528-07:00
True,2022-10-26T10:31:55.9472896-07:00
True,2022-10-26T10:31:55.9638272-07:00
True,2022-10-26T10:31:55.9805952-07:00
True,2022-10-26T10:31:55.9973376-07:00
True,2022-10-26T10:31:56.0142464-07:00
True,2022-10-26T10:31:56.0309760-07:00
True,2022-10-26T10:31:56.0477824-07:00
True,2022-10-26T10:31:56.0645632-07:00
True,2022-10-26T10:31:56.0813312-07:00
True,2022-10-26T10:31:56.0980736-07:00
True,2022-10-26T10:31:56.1148544-07:00
True,2022-10-26T10:31:56.1316096-07:00
True,2022-10-26T10:31:56.1484160-07:00
True,2022-10-26T10:31:56.1653376-07:00
True,2022-10-26T10:31:56.1820800-07:00
True,2022-10-26T10:31:56.1988096-07:00
True,2022-10-26T10:31:56.2155904-07:00
True,2022-10-26T10:31:56.2324992-07:00
True,2022-10-26T10:31:56.2493312-07:00
True,2022-10-26T10:31:56.2661760-07:00
True,2022-10-26T10:31:56.2830336-07:00
True,2022-10-26T10:31:56.2998016-07:00
True,2022-10-26T10:31:56.3166848-07:00
True,2022-10-26T10:31:56.3335424-07:00
True,2022-10-26T10:31:56.3503744-07:00
True,2022-10-26T10:31:56.3672064-07:00
True,2022-10-26T10:31:56.3841280-07:00
True,2022-10-26T10:31:56.4008832-07:00
True,2022-10-26T10:31:56.4176768-07:00
True,2022-10-26T10:31:56.4345728-07:00
True,2022-10-26T10:31:56.4512640-07:00
True,2022-10-26T10:31:56.4680704-07:00
True,2022-10-26T10:31:56.4847744-07:00
True,2022-10-26T10:31:56.5015680-07:00
True,2022-10-26T10:31:56.5183360-07:00
True,2022-10-26T10:31:56.5351552-07:00
True,2022-10-26T10:31:56.5520000-07:00
True,2022-10-26T10:31:56.5688960-07:00
True,2022-10-26T10:31:56.5857664-07:00
True,2022-10-26T10:31:56.6025600-07:00
True,2022-10-26T10:31:56.6194944-07:00
True,2022-10-26T10:31:56.6362624-07:00
True,2022-10-26T10:31:56.6531328-07:00
True,2022-10-26T10:31:56.6700288-07:00
True,2022-10-26T10:31:56.6867968-07:00
True,2022-10-26T10:31:56.7037056-07:00
True,2022-10-26T10:31:56.7204864-07:00
True,2022-10-26T10:31:56.7372800-07:00
True,2022-10-26T10:31:56.7540992-07:00
True,2022-10-26T10:31:56.7708800-07:00
True,2022-10-26T10:31:56.7876864-07:00
True,2022-10-26T10:31:56.8045696-07:00
True,2022-10-26T10:31:56.8213888-07:00
True,2022-10-26T10:31:56.8382848-07:00
True,2022-10-26T10:31:56.8551040-07:00
True,2022-10-26T10:31:56.8719360-07:00
True,2022-10-26T10:31:56.8886912-07:00
True,2022-10-26T10:31:56.9055616-07:00
True,2022-10-26T10:31:56.9223552-07:00
True,2022-10-26T10:31:56.9391488-07:00
True,2022-10-26T10:31:56.9558784-07:00
True,2022-10-26T10:31:56.9727232-07:00
True,2022-10-26T10:31:56.9895936-07:00
True,2022-10-26T10:31:57.0064000-07:00
True,2022-10-26T10:31:57.0232448-07:00
True,2022-10-26T10:31:57.0401024-07:00
True,2022-10-26T10:31:57.0568448-07:00
True,2022-10-26T10:31:57.0735616-07:00
True,2022-10-26T10:31:57.0903040-07:00
True,2022-10-26T10:31:57.1070592-07:00
True,2022-10-26T10:31:57.1238144-07:00
True,2022-10-26T10:31:57.1405696-07:00
True,2022-10-26T10:31:57.1572864-07:00
True,2022-10-26T10:31:57.1741568-07:00
True,2022-10-26T10:31:57.1909504-07:00
True,2022-10-26T10:31:57.2077568-07:00
True,2022-10-26T10:31:57.2246272-07:00
True,2022-10-26T10:31:57.2413952-07:00
True,2022-10-26T10:31:57.2581504-07:00
True,2022-10-26T10:31:57.2750464-07:00
True,2022-10-26T10:31:57.2919296-07:00
True,2022-10-26T10:31:57.3086848-07:00
True,2022-10-26T10:31:57.3255168-07:00
True,2022-10-26T10:31:57.3423104-07:00
True,2022-10-26T10:31:57.3592320-07:00
True,2022-10-26T10:31:57.3759104-07:00
True,2022-10-26T10:31:57.3927552-07:00
True,2022-10-26T10:31:57.4095488-07:00
True,2022-10-26T10:31:57.4263552-07:00
True,2022-10-26T10:31:57.4431104-07:00
True,2022-10-26T10:31:57.4599040-07:00
True,2022-10-26T10:31:57.4766592-07:00
True,2022-10-26T10:31:57.4934272-07:00
True,2022-10-26T10:31:57.5101824-07:00
True,2022-10-26T10:31:57.5269376-07:00
True,2022-10-26T10:31:57.5437056-07:00
True,2022-10-26T10:31:57.5604992-07:00
True,2022-10-26T10:31:57.5774080-07:00
True,2022-10-26T10:31:57.5941504-07:00
True,2022-10-26T10:31:57.6109696-07:00
True,2022-10-26T10:31:57.6278528-07:00
True,2022-10-26T10:31:57.6445824-07:00
True,2022-10-26T10:31:57.6613760-07:00
True,2022-10-26T10:31:57.7258880-07:00
True,2022-10-26T10:31:57.7273344-07:00
True,2022-10-26T10:31:57.7441920-07:00
True,2022-10-26T10:31:57.7609088-07:00
True,2022-10-26T10:31:57.7778048-07:00
True,2022-10-26T10:31:57.7945088-07:00
True,2022-10-26T10:31:57.8114048-07:00
True,2022-10-26T10:31:57.8281984-07:00
True,2022-10-26T10:31:57.8449664-07:00
True,2022-10-26T10:31:57.8618624-07:00
True,2022-10-26T10:31:57.8787200-07:00
True,2022-10-26T10:31:57.8955776-07:00
True,2022-10-26T10:31:57.9123200-07:00
True,2022-10-26T10:31:57.9291776-07:00
True,2022-10-26T10:31:57.9459584-07:00
True,2022-10-26T10:31:57.9627648-07:00
True,2022-10-26T10:31:57.9795328-07:00
True,2022-10-26T10:31:57.9964544-07:00
True,2022-10-26T10:31:58.0133120-07:00
True,2022-10-26T10:31:58.0300416-07:00
True,2022-10-26T10:31:58.0467968-07:00
True,2022-10-26T10:31:58.0635776-07:00
True,2022-10-26T10:31:58.0803328-07:00
True,2022-10-26T10:31:58.0971520-07:00
True,2022-10-26T10:31:58.1139328-07:00
True,2022-10-26T10:31:58.1306880-07:00
True,2022-10-26T10:31:58.1475072-07:00
True,2022-10-26T10:31:58.1643264-07:00
True,2022-10-26T10:31:58.1811584-07:00
True,2022-10-26T10:31:58.1979264-07:00
True,2022-10-26T10:31:58.2148096-07:00
True,2022-10-26T10:31:58.2316160-07:00
True,2022-10-26T10:31:58.2485376-07:00
True,2022-10-26T10:31:58.2654080-07:00
True,2022-10-26T10:31:58.2822784-07:00
True,2022-10-26T10:31:58.2990720-07:00
True,2022-10-26T10:31:58.3159168-07:00
True,2022-10-26T10:31:58.3327872-07:00
True,2022-10-26T10:31:58.3496448-07:00
True,2022-10-26T10:31:58.3663744-07:00
True,2022-10-26T10:31:58.3832704-07:00
True,2022-10-26T10:31:58.4001536-07:00
True,2022-10-26T10:31:58.4168320-07:00
True,2022-10-26T10:31:58.4337408-07:00
True,2022-10-26T10:31:58.4505344-07:00
True,2022-10-26T10:31:58.4675328-07:00
True,2022-10-26T10:31:58.4841216-07:00
True,2022-10-26T10:31:58.5009664-07:00
True,2022-10-26T10:31:58.5176960-07:00
True,2022-10-26T10:31:58.5345920-07:00
True,2022-10-26T10:31:58.5514496-07:00
True,2022-10-26T10:31:58.5683072-07:00
True,2022-10-26T10:31:58.5850240-07:00
True,2022-10-26T10:31:58.6018432-07:00
True,2022-10-26T10:31:58.6186496-07:00
True,2022-10-26T10:31:58.6355072-07:00
True,2022-10-26T10:31:58.6523264-07:00
True,2022-10-26T10:31:58.6692096-07:00
True,2022-10-26T10:31:58.6860288-07:00
True,2022-10-26T10:31:58.7028992-07:00
True,2022-10-26T10:31:58.7197312-07:00
True,2022-10-26T10:31:58.7365504-07:00
True,2022-10-26T10:31:58.7535104-07:00
True,2022-10-26T10:31:58.7702912-07:00
True,2022-10-26T10:31:58.7870848-07:00
True,2022-10-26T10:31:58.8040576-07:00
True,2022-10-26T10:31:58.8208128-07:00
True,2022-10-26T10:31:58.8377344-07:00
True,2022-10-26T10:31:58.8545408-07:00
True,2022-10-26T10:31:58.8714112-07:00
True,2022-10-26T10:31:58.8882176-07:00
True,2022-10-26T10:31:58.9050496-07:00
True,2022-10-26T10:31:58.9219200-07:00
True,2022-10-26T10:31:58.9388288-07:00
True,2022-10-26T10:31:58.9555840-07:00
True,2022-10-26T10:31:58.9724416-07:00
True,2022-10-26T10:31:58.9893888-07:00
True,2022-10-26T10:31:59.0061056-07:00
True,2022-10-26T10:31:59.0230272-07:00
True,2022-10-26T10:31:59.0398208-07:00
True,2022-10-26T10:31:59.0565760-07:00
True,2022-10-26T10:31:59.0734720-07:00
True,2022-10-26T10:31:59.0902272-07:00
True,2022-10-26T10:31:59.1069568-07:00
True,2022-10-26T10:31:59.1237248-07:00
True,2022-10-26T10:31:59.1404544-07:00
True,2022-10-26T10:31:59.1572224-07:00
True,2022-10-26T10:31:59.1739776-07:00
True,2022-10-26T10:31:59.1907584-07:00
True,2022-10-26T10:31:59.2075136-07:00
True,2022-10-26T10:31:59.2242048-07:00
True,2022-10-26T10:31:59.2410240-07:00
True,2022-10-26T10:31:59.2576768-07:00
True,2022-10-26T10:31:59.2746240-07:00
True,2022-10-26T10:31:59.2914176-07:00
True,2022-10-26T10:31:59.3082624-07:00
True,2022-10-26T10:31:59.3251200-07:00
True,2022-10-26T10:31:59.3419648-07:00
True,2022-10-26T10:31:59.3587840-07:00
True,2022-10-26T10:31:59.3757056-07:00
True,2022-10-26T10:31:59.3924608-07:00
True,2022-10-26T10:31:59.4092544-07:00
True,2022-10-26T10:31:59.4259584-07:00
True,2022-10-26T10:31:59.4428672-07:00
True,2022-10-26T10:31:59.4597760-07:00
True,2022-10-26T10:31:59.4770048-07:00
True,2022-10-26T10:31:59.4936576-07:00
True,2022-10-26T10:31:59.5104128-07:00
True,2022-10-26T10:31:59.5272448-07:00
True,2022-10-26T10:31:59.5441024-07:00
True,2022-10-26T10:31:59.5607936-07:00
True,2022-10-26T10:31:59.5774976-07:00
True,2022-10-26T10:31:59.5942400-07:00
True,2022-10-26T10:31:59.6109952-07:00
True,2022-10-26T10:31:59.6279424-07:00
True,2022-10-26T10:31:59.6447360-07:00
True,2022-10-26T10:31:59.6616448-07:00
True,2022-10-26T10:31:59.6789888-07:00
True,2022-10-26T10:31:59.6951808-07:00
True,2022-10-26T10:31:59.7121792-07:00
True,2022-10-26T10:31:59.7287680-07:00
True,2022-10-26T10:31:59.7456640-07:00
True,2022-10-26T10:31:59.7625216-07:00
True,2022-10-26T10:31:59.7795200-07:00
True,2022-10-26T10:31:59.7965056-07:00
True,2022-10-26T10:31:59.8131712-07:00
True,2022-10-26T10:31:59.8299008-07:00
True,2022-10-26T10:31:59.8466304-07:00
True,2022-10-26T10:31:59.8636032-07:00
True,2022-10-26T10:31:59.8802176-07:00
True,2022-10-26T10:31:59.8969216-07:00
True,2022-10-26T10:31:59.9137024-07:00
True,2022-10-26T10:31:59.9307648-07:00
True,2022-10-26T10:31:59.9471232-07:00
True,2022-10-26T10:31:59.9639552-07:00
True,2022-10-26T10:31:59.9807488-07:00
True,2022-10-26T10:31:59.9975552-07:00
True,2022-10-26T10:32:00.0143872-07:00
True,2022-10-26T10:32:00.0312704-07:00
True,2022-10-26T10:32:00.0479744-07:00
True,2022-10-26T10:32:00.0647296-07:00
True,2022-10-26T10:32:00.0815744-07:00
True,2022-10-26T10:32:00.0984448-07:00
True,2022-10-26T10:32:00.1153152-07:00
True,2022-10-26T10:32:00.1319936-07:00
True,2022-10-26T10:32:00.1489152-07:00
True,2022-10-26T10:32:00.1657216-07:00
True,2022-10-26T10:32:00.1826560-07:00
True,2022-10-26T10:32:00.1993088-07:00
True,2022-10-26T10:32:00.2161280-07:00
True,2022-10-26T10:32:00.2329984-07:00
True,2022-10-26T10:32:00.2498688-07:00
True,2022-10-26T10:32:00.2667392-07:00
True,2022-10-26T10:32:00.2836480-07:00
True,2022-10-26T10:32:00.3004288-07:00
True,2022-10-26T10:32:00.3173248-07:00
True,2022-10-26T10:32:00.3344512-07:00
True,2022-10-26T10:32:00.3511424-07:00
True,2022-10-26T10:32:00.3678976-07:00
True,2022-10-26T10:32:00.3847296-07:00
True,2022-10-26T10:32:00.4017536-07:00
True,2022-10-26T10:32:00.4182272-07:00
True,2022-10-26T10:32:00.4349824-07:00
True,2022-10-26T10:32:00.4517504-07:00
True,2022-10-26T10:32:00.4684672-07:00
True,2022-10-26T10:32:00.4852864-07:00
True,2022-10-26T10:32:00.5018368-07:00
True,2022-10-26T10:32:00.5186304-07:00
True,2022-10-26T10:32:00.5355392-07:00
True,2022-10-26T10:32:00.5521792-07:00
True,2022-10-26T10:32:00.5688704-07:00
True,2022-10-26T10:32:00.5857792-07:00
True,2022-10-26T10:32:00.6025984-07:00
True,2022-10-26T10:32:00.6195584-07:00
True,2022-10-26T10:32:00.6364544-07:00
True,2022-10-26T10:32:00.6532608-07:00
True,2022-10-26T10:32:00.6701056-07:00
True,2022-10-26T10:32:00.6891136-07:00
True,2022-10-26T10:32:00.7037568-07:00
True,2022-10-26T10:32:00.7203200-07:00
True,2022-10-26T10:32:00.7371008-07:00
True,2022-10-26T10:32:00.7538432-07:00
True,2022-10-26T10:32:00.7707520-07:00
True,2022-10-26T10:32:00.7875456-07:00
True,2022-10-26T10:32:00.8043904-07:00
True,2022-10-26T10:32:00.8210816-07:00
True,2022-10-26T10:32:00.8379648-07:00
True,2022-10-26T10:32:00.8547968-07:00
True,2022-10-26T10:32:00.8716288-07:00
True,2022-10-26T10:32:00.8884608-07:00
True,2022-10-26T10:32:00.9053056-07:00
True,2022-10-26T10:32:00.9220480-07:00
True,2022-10-26T10:32:00.9388928-07:00
True,2022-10-26T10:32:00.9557504-07:00
True,2022-10-26T10:32:00.9725312-07:00
True,2022-10-26T10:32:00.9893504-07:00
True,2022-10-26T10:32:01.0061568-07:00
True,2022-10-26T10:32:01.0230016-07:00
True,2022-10-26T10:32:01.0397952-07:00
True,2022-10-26T10:32:01.0566016-07:00
True,2022-10-26T10:32:01.0733696-07:00
True,2022-10-26T10:32:01.0901376-07:00
True,2022-10-26T10:32:01.1068928-07:00
True,2022-10-26T10:32:01.1236736-07:00
True,2022-10-26T10:32:01.1404160-07:00
True,2022-10-26T10:32:01.1572096-07:00
True,2022-10-26T10:32:01.1739520-07:00
True,2022-10-26T10:32:01.1907584-07:00
True,2022-10-26T10:32:01.2076288-07:00
True,2022-10-26T10:32:01.2244608-07:00
True,2022-10-26T10:32:01.2412928-07:00
True,2022-10-26T10:32:01.2579328-07:00
True,2022-10-26T10:32:01.2747520-07:00
True,2022-10-26T10:32:01.2915712-07:00
True,2022-10-26T10:32:01.3083520-07:00
True,2022-10-26T10:32:01.3251968-07:00
True,2022-10-26T10:32:01.3420416-07:00
True,2022-10-26T10:32:01.3588992-07:00
True,2022-10-26T10:32:01.3757824-07:00
True,2022-10-26T10:32:01.3926400-07:00
True,2022-10-26T10:32:01.4095104-07:00
True,2022-10-26T10:32:01.4262912-07:00
True,2022-10-26T10:32:01.4430848-07:00
True,2022-10-26T10:32:01.4600192-07:00
True,2022-10-26T10:32:01.4768384-07:00
True,2022-10-26T10:32:01.4937088-07:00
True,2022-10-26T10:32:01.5105280-07:00
True,2022-10-26T10:32:01.5274368-07:00
True,2022-10-26T10:32:01.5442304-07:00
True,2022-10-26T10:32:01.5611136-07:00
True,2022-10-26T10:32:01.5779328-07:00
True,2022-10-26T10:32:01.5948544-07:00
True,2022-10-26T10:32:01.6117120-07:00
True,2022-10-26T10:32:01.6285184-07:00
True,2022-10-26T10:32:01.6453120-07:00
True,2022-10-26T10:32:01.6621824-07:00
True,2022-10-26T10:32:01.6789632-07:00
True,2022-10-26T10:32:01.6957312-07:00
True,2022-10-26T10:32:01.7126400-07:00
True,2022-10-26T10:32:01.7294208-07:00
True,2022-10-26T10:32:01.7463296-07:00
