Value,Value.Item2,Timestamp
NOGO,False,2022-10-26T15:40:39.1051776-07:00
NOGO,False,2022-10-26T15:40:42.5363072-07:00
GO,False,2022-10-26T15:40:45.2878464-07:00
GO,True,2022-10-26T15:40:46.9883520-07:00
NOGO,False,2022-10-26T15:40:51.0465664-07:00
NOGO,False,2022-10-26T15:40:54.3050752-07:00
GO,True,2022-10-26T15:40:56.1070720-07:00
NOGO,False,2022-10-26T15:41:00.0877184-07:00
NOGO,False,2022-10-26T15:41:03.4292992-07:00
NOGO,True,2022-10-26T15:41:04.2712448-07:00
GO,False,2022-10-26T15:41:09.0885376-07:00
NOGO,True,2022-10-26T15:41:11.0889344-07:00
NOGO,True,2022-10-26T15:41:13.6901504-07:00
